image_url,store,product,price,likes,comments
https://static.slickdealscdn.com/attachment/9/5/3/2/3/200x200/9876331.thumb,Amazon,"Sabrent USB TypeC Hubs: 5-Port $16, 6-Port w/ SD Reader",$17,32,42
https://static.slickdealscdn.com/images/avatar-17.png,Amazon,Jelly Comb MS038 Multiple Modes(BT 4.0+ BT 4.0+ USB+ Type-C) Bluetooth Mouse - $5.99 AC,$5.99,6,3
https://static.slickdealscdn.com/attachment/2/0/6/3/7/6/2/8/200x200/9877618.thumb,Best Buy,"Dell S2721DGF - 1440P - 165HZ - 27"" Monitor $430",$429.99,47,76
https://static.slickdealscdn.com/attachment/1/1/1/9/0/4/0/200x200/9876454.thumb,Best Buy,"Dell - S3220DGF 32"" LED Curved QHD FreeSync Monitor with HDR $379.99",$379.99,19,41
https://static.slickdealscdn.com/attachment/1/8/1/5/3/0/8/200x200/9875416.thumb,eBay,5TB WD Easystore External USB 3.0 Portable Hard Drive,$100,60,110
https://static.slickdealscdn.com/attachment/2/9/1/1/6/4/8/200x200/9878764.thumb,Amazon,Razer BlackWidow Elite Mechanical Gaming Keyboard: Green Mechanical Switches @ Amazon $99.99,$99.99,1,7
https://static.slickdealscdn.com/attachment/7/4/9/4/4/9/1/200x200/9875617.thumb,eBay,"27"" Gigabyte M27Q 2560x1440 170Hz 0.5ms IPS FreeSync Monitor",$310,35,53
https://static.slickdealscdn.com/attachment/6/2/5/5/0/6/9/200x200/9880351.thumb,Dell Home & Office,Dell XPS 13 7390 Laptop 10th gen i7 16GB 512GB $882,$882,10,22
https://static.slickdealscdn.com/attachment/1/4/6/4/7/8/200x200/9876121.thumb,Best Buy,Best Buy - Samsung 980 PRO 1TB Internal NVMe SSD $199.99 ($30 off),$199.99,22,48
https://static.slickdealscdn.com/attachment/avatar/8/6/3/5/4/17x17/avatar.static?dateline=1408499536,Amazon,ARESGAME 750W Power Supply Semi Modular 80+ Bronze PSU $59 Amazon $59.39,$59.39,0,3
https://static.slickdealscdn.com/attachment/2/7/8/5/7/2/0/3/200x200/9874993.thumb,Best Buy,"ASUS - ROG Zephyrus G14 14"" Laptop - AMD Ryzen 7 - 8GB Memory - NVIDIA GeForce GTX 1650 - 512GB SSD $849.99",$849.99,24,51
https://static.slickdealscdn.com/attachment/2/6/7/7/1/6/6/6/200x200/9877159.thumb,Amazon,StyleFolio Pencil Case and Stand for 9.7-inch iPad Pro $9.73,$9.73,1,0
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9875524.thumb,Newegg,"Microsoft Surface Laptop 3 [15"" Touchscreen 2496 x 1664  Intel Core i5 (10th Gen) i5-1035G7 Quad-core (4 Core) 1.20 GHz 8GB RAM 128GB SSD] | $899.99 + FS",,5,10
https://static.slickdealscdn.com/attachment/2/1/5/9/2/1/2/0/200x200/9874678.thumb,Amazon,"1Mii aptX Low Latency & HD Dual Link Bluetooth 5.0 Audio Transmitter Adapter w/ Coax, Optical, RCA, AUX, USB $18.92 + FS",$18.92,44,60
https://static.slickdealscdn.com/attachment/2/2/0/5/3/200x200/9877315.thumb,Amazon,Samsung Galaxy Tab Book Cover Keyboard: S7+ $115 or S7,$100,36,37
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9875086.thumb,Newegg,1TB Sabrent Rocket NVMe gen4 SSD @Newegg $144.49,$144.49,5,1
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9875194.thumb,Newegg,"Asus Vivobook 15 S513 AMD Ryzen 4700U 8GB DDR4 1TB SSD Win10H, Indie Blk @Newegg $700",$700,1,5
https://static.slickdealscdn.com/attachment/2/0/6/6/6/3/6/200x200/9874951.thumb,Amazon,NETGEAR 8-Port Gigabit Ethernet Metal Unmanaged Switch GS308 @Amazon $17.99,$17.99,2,3
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9875095.thumb,Newegg,CORSAIR iCUE H150i RGB PRO XT 360mm Liquid CPU Cooler $140,$140,1,0
